Layer Height (mm),Speed (mm/s),Pressure (PSI),Temperature (°C),Print Quality,Bioink_Alginate (2%),Bioink_Alginate (5%),Bioink_Carbohydrate Glass,Bioink_Collagen Lifeink200,Bioink_Collagen Lifeink200 (with cells),Bioink_Gelatin,Bioink_Gelatin Methacrylate,Bioink_Graphene,Bioink_Hyperelastic Bone,Bioink_Matrigel,Bioink_PCL,Bioink_PEGDA,Bioink_PLGA,Bioink_Pluronic,Needle_0.25″ straight 30G,Needle_1.0″ straight 30G,Needle_Tapered metal 27G,Needle_Tapered metal 30G,Crosslinking_Chemical (CaCl2),Crosslinking_N/A,"Crosslinking_Photo (LAP, 410nm)",Crosslinking_Thermal
-0.9222383110602225,0.05379443813899729,-0.8480269866902664,-0.34619981947584805,-0.8827390227614815,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
-0.9222383110602225,0.05379443813899729,-0.625041943035076,-0.34619981947584805,-0.6580213285638465,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
-0.0627431469780014,0.8448891166536626,0.7128683188960668,2.0468216211557766,0.8599503296589996,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1.6562471811864397,0.05379443813899729,-0.773698638805203,-0.34619981947584805,-0.7767344452420062,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1.6562471811864397,0.05379443813899729,-0.773698638805203,-0.34619981947584805,-0.8042227551427705,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
-0.0627431469780014,1.635983795168328,-0.17907185572469506,-0.34619981947584805,0.0014123010686178767,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
-0.0627431469780014,1.635983795168328,-0.17907185572469506,-0.34619981947584805,0.029779246314091023,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
-0.0627431469780014,0.05379443813899729,0.1182415358155589,-0.9374168812789553,0.14222743503857213,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-0.0627431469780014,0.05379443813899729,-0.625041943035076,-0.9374168812789553,-0.6592917299297965,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-0.9222383110602225,0.05379443813899729,-0.9223553345753299,-0.9374168812789553,-0.9602388082382336,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
-1.781733475142443,-1.9239422581476662,1.9021218850570827,1.7652896869638208,1.75770741545307,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
